"id,english,icelandic",,"auðlenni, enska, íslenska"
"1,Automotive,",,"1,Farartæki,"
"2,Beauty ,",,"2,Fegurð,"
"3,Building & Construction,",,"3,Bygging & Byggingariðnaður,"
"4,Children,",,"4,Börn,"
"5,Cinema & Theatre,",,"5,Kvikmyndahús & Leikhús,"
"6,Coffee & Tea,",,"6,Kaffi & Te,"
"7,Drinking Out,",,"7, Fá sér drykki,"
"8,Eating Out,",,"8,Út að borða,"
"9,Education,",,"9,Menntun,"
"10,Entertainment,",,"10,Skemmtun,"
"11,Food & Drink,",,"11,Matur & Drykkur,"
"12,Health & Medical,",,"12,Heilsa & Læknisþjónusta,"
"13,Home & Garden,",,"13,Heimili & Garður,"
"14,Landmarks,",,"14,Kennileiti,"
"15,Local Services,",,"15,Þjónusta á staðnum,"
"16,Money & Finance,",,"16,Peningar & Fjármál,"
"17,Museums & Art,",,"17,Söfn & List,"
"18,Nightlife,",,"18,Næturlíf, "
"19,Other Services,",,"19,Önnur Þjónusta,"
"20,Outdoor,",,"20,Útivist,"
"21,Pets,",,"21,Gæludýr,"
"22,Professional Services,",,"22,Sérhæfð Þjónusta,"
"23,Public Services,",,"23,Opinber Þjónusta,"
"24,Shopping,",,"24,Verslun,"
"25,Sport & Fitness,",,"25,íþróttir & lífsstíll,"
"26,Technology,",,"26,Tækni,"
"27,Travel & Accommodation,",,"27,Ferðalög & Gisting,"
