id, name, lang
1,Service,en
1,Servis,me
2,Kids Friendly,en
2,Pogodno za djecu,me
3,Location,en
3,Lokacija,me
5,Products,en
5,Proizvodi,me
9,Ambiance,en
9,Ambijent,me
10,Good Value,en
10,Vrijedno pažnje,me
13,Equipment,en
13,Oprema,me
15,Food,en
15,Hrana,me
16,Drinks,en
16,Piće,me
17,For Special Occasions,en
17,Za posebne prilike,me
19,Choice,en
19,Izbor,me
20,Diversity,en
20,Raznovrsnost,me
21,Romantic,en
21,Romantično,me
22,For Business,en
22,Za biznis,me
34,Facilities,en
34,Objekti,me
41,Quality,en
41,Kvalitet,me
